ID,Species,"Culture collection number","Isolation source",Country,Continent,"Category 1","Category 2","Category 3"
132838,"Acetobacter oeni","DSM 17891, CECT 5830, LMG 21952",Wine,Portugal,Europe,"#Host Body-Site",#Plant,"#Fruit (Seed)"
132838,,,,,,#Host,#Plants,"#Shrub (Scrub)"
132838,,,,,,#Engineered,"#Food production",#Fermented
132838,,,,,,#Engineered,"#Food production",#Beverage
161632,"Acetobacter okinawensis","JCM 15829","Sugarcane (stem) (<I>Saccharum offcinarum</I>) in Okinawa,(2004)",Japan,Asia,,,
163333,"Acetobacter okinawensis","JCM 25146, KACC 19723, LMG 26457, NBRC 111467, NRIC 0658","Sugarcane (stem) (<I>Saccharum offcinarum</I>) in Okinawa,(2004)",Japan,Asia,,,
163334,"Acetobacter okinawensis","JCM 25147, NRIC 0659","Sugarcane (stem) (<I>Saccharum offcinarum</I>) in Okinawa,(2004)",Japan,Asia,,,
163344,"Acetobacter okinawensis","JCM 25387","Grape (<I>Vitis vinifera</I>) in Tottori,(2007)",Japan,Asia,,,
163346,"Acetobacter okinawensis","JCM 25390","Japanese plum (fruit) (<I>Prunus salicina</I>) in Tottori,(2007)",Japan,Asia,,,
163348,"Acetobacter okinawensis","JCM 25401","Oriental melon (fruit) (<I>Cucumis melo</I> var. <I>makuwa</I>) in Okayama,(2007)",Japan,Asia,,,
163349,"Acetobacter okinawensis","JCM 25402","Broad-leaf vetch (flower) (<I>Vicia amoena</I> in Okayama,(2007)",Japan,Asia,,,
16,"Acetobacter orientalis","DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379, JCM 1195","Canna flower###Canna flower (<I>Canna hybrida</I>)###canna flower, <I>Canna hybrida</I>",Indonesia,Asia,"#Host Body-Site",#Plant,#Flower
16,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
16,,,,,,"#Host Body-Site",#Plant,#Flower
16,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
16,,,,,,"#Host Body-Site",#Plant,#Flower
16,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
8,"Acetobacter orleanensis","DSM 4492, ATCC 12876, CCUG 18126, IMET 10752, LMD 31.3, LMG 1282, LMG 1583, NCIMB 8622, PDDCC 8809, KCTC 12329, JCM 7639, BCRC 11568, CCM 3610, ICMP 8809, IFO 13752, NBRC 13752, NCCB 31003, VTT E-042463","Belgian bottled beer###beer",Belgium,Europe,"#Host Body-Site",#Plant,"#Fruit (Seed)"
8,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
8,,,,,,#Engineered,"#Food production",#Fermented
8,,,,,,#Engineered,"#Food production",#Beverage
8,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
8,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
8,,,,,,#Engineered,"#Food production",#Fermented
8,,,,,,#Engineered,"#Food production",#Beverage
8,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
8,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
8,,,,,,#Engineered,"#Food production",#Fermented
8,,,,,,#Engineered,"#Food production",#Beverage
164536,"Acetobacter oryzoeni","JCM 33371, KACC 21201","Korean rice wine vinegar","Republic of Korea",Asia,,,
163331,"Acetobacter papayae","JCM 25143, KACC 19722, LMG 26456, NBRC 111466, NRIC 0655","Papaya (fruit) (<I>Carica papaya</I>) in Okinawa,(2004)",Japan,Asia,,,
163332,"Acetobacter papayae","JCM 25144, NRIC 0656","Papaya (fruit) (<I>Carica papaya</I>) in Okinawa,(2004)",Japan,Asia,,,
